,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Lawyers as Quasi-Public Actors [article],"Wendel, W. Bradley (Cited 837 times)","Alberta Law Review , Vol. 45, Issue 5 (June 2008), pp. 83-106",3,na,15," Criminal Law and Procedure, Legal Profession, Professional Ethics, Legal History"
0,"Stephen Glass, Situational Forces, and the Fundamental Attribution Error [article]","Wendel, W. Bradley (Cited 837 times)","Journal of Law, Vol. 4, Issue 1 (2014), pp. 99-[iv]",3,na,36," Communications Law, Science and Technology, Traffic Laws, Water, Criminal Law and Procedure, Professional Ethics"
0,Monroe Freedman: The Ethicist of the Non-Ideal [comments],"Wendel, W. Bradley (Cited 837 times)","Hofstra Law Review, Vol. 44, Issue 3 (Spring 2016), pp. 671-680",2,na,1," Plea Bargaining, Ethics, Legal Profession"
0,"Sally Yates, Ronald Dworkin, and the Best View of the Law [article]","Wendel, W. Bradley (Cited 837 times)","Michigan Law Review First Impressions, Vol. 115, pp. 78-90",2,na,11," Administrative Law, States, Statutory Interpretation, Business Organizations, Legal Profession"
0,Litigation Trolls [article],"Wendel, W. Bradley (Cited 837 times)","New York University Journal of Law and Business, Vol. 12, Issue 3 (2016), pp. 725-750",2,na,7," Intellectual Property Law, Politics, Civil Procedure, Federal Rules of Civil Procedure, Procedure, State and Local Government Law"
0,Nonlegal Regulation of the Legal Profession: Social Norms in Professional Communities [article],"Wendel, W. Bradley (Cited 837 times)","Vanderbilt Law Review, Vol. 54, Issue 5 (October 2001), pp. 1953-2056",2,na,25," Legal Profession, Regulation, Courts, Ethics, Professional Ethics"
0,Political Culture and the Rule of Law: Comparing the United States and New Zealand [article],"Wendel, W. Bradley (Cited 837 times)","Otago Law Review, Vol. 12, Issue 4 (2012), pp. 663-702",2,na,23," Rule of Law, States, Democracy, Accidents"
0,Putting Morality in Its Place [article],"Review Symposium: W Bradley Wendel, Lawyers and Fidelity to Law (Princeton University Press, 2010)","Legal Ethics, Vol. 15, Issue 1 (2012), pp. 175-186",1,na,10," Ethics, Legal Ethics, Legal Representation, Professional Ethics"
0,Economic Rationality and Ethical Values in Design-Defect Analysis: The Trolley Problem and Autonomous Vehicles [article],"Wendel, W. Bradley (Cited 837 times)","California Western Law Review, Vol. 55, Issue 1 (Fall 2018), pp. 129-164",1,na,17," Science and Technology, Torts, Jurisprudence"
0,A Legal Ethics Perspective on Alternative Litigation Financing [article],"Wendel, W. Bradley (Cited 837 times)","Canadian Business Law Journal, Vol. 55, Issue 1 (March 2014), pp. 133-164",1,na,23," Ethics, Legal Ethics, Insurance, Insurance Law, Professional Ethics"
0,Philosophical Legal Ethics: An Affectionate History [article],"Luban, David (Cited 3005 times); Wendel, W. Bradley (Cited 837 times)","Georgetown Journal of Legal Ethics, Vol. 30, Issue 3 (Summer 2017), pp. 337-364",1,na,160," Ethics, History, Jurisprudence, Legal Ethics, Legal History, Legal Profession, Professional Ethics"
0,Truthfulness as an Ethical Form of Life [article],"Wendel, W. Bradley (Cited 837 times)","Duquesne Law Review, Vol. 56, Issue 2 (Summer 2018), pp. 141-168",1,na,18," Defamation, First Amendment, Politics, Sex"
0,Coming to Grips with the Ethical Challenges for Capital Post-Conviction Representation Posed by Martinez v. Ryan [article],"Blume, John H. (Cited 907 times); Wendel, W. Bradley (Cited 837 times)","Florida Law Review, Vol. 68, Issue 3 (May 2016), pp. 765-818",1,na,8," Professional Ethics, Sentencing, Law Enforcement and Corrections, Practice and Procedure, Criminal Law and Procedure"
