,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,"Commerce, Death Panels, and Broccoli: Or Why the Activity/Inactivity Distinction in the Health Care Case was Really About the Right to Bodily Integrity [article]","Dorf, Michael C. (Cited 3356 times)","Georgia State University Law Review, Vol. 29, Issue 4 (Summer 2013), pp. 897-920",9,na,3," Commerce, Death, Health, Unions, Constitutional Law, Federalism"
0,Does Federal Executive Branch Experience Explain Why Some Republican Supreme Court Justices Evolve and Others Don't [article],"Dorf, Michael C. (Cited 3356 times)","Harvard Law & Policy Review, Vol. 1, Issue 2 (Summer 2007), pp. 457-476",9,na,23," Judges, President/Executive Department, Age, Politics"
0,Strange Bedfellows: How an Anticipatory Countermovement Brought Same-Sex Marriage into the Public Arena [article],"Dorf, Michael C. (Cited 3356 times); Tarrow, Sidney (Cited 11 times)","Law & Social Inquiry, Vol. 39, Issue 2 (Spring 2014), pp. 449-473",8,na,3," Domestic Relations, Jurisprudence, Marriage, Same-Sex Marriage, Sex, Sexuality and the Law, Communications Law, Legal Analysis and Writing"
0,The Orwellian Military Commissions Act of 2006 [article],"Dorf, Michael C. (Cited 3356 times)","Journal of International Criminal Justice, Vol. 5, Issue 1 (March 2007), pp. 10-18",8,na,4," Courts, Military Law, International Law"
0,"Bargaining in the Shadow of the Debt Ceiling: When Negotiating over Spending and Tax Laws, Congress and the President Should Consider the Debt Ceiling a Dead Letter [article]","Buchanan, Neil H. (Cited 160 times); Dorf, Michael C. (Cited 3356 times)","Columbia Law Review Sidebar, Vol. 113, pp. 32-54",7,na,9," Congress, Debt"
0,Spandrel or Frankenstein's Monster - The Vices and Virtues of Retrofitting in American Law [article],"Dorf, Michael C. (Cited 3356 times)","William & Mary Law Review, Vol. 54, Issue 2 (November 2012), pp. 339-370",7,na,10," Harassment, Sexual Harassment, Technology, Compensation, Workers' Compensation"
0,Measuring the Chilling Effect [article],"Canes-Wrone, Brandice (Cited 40 times); Dorf, Michael C. (Cited 3356 times)","New York University Law Review, Vol. 90, Issue 4 (October 2015), pp. 1095-1114",7,na,49," First Amendment, Reproduction, Jurisprudence"
0,"A Comment on Text, Time and Audience Understanding in Constitutional Law [article]","Dorf, Michael C. (Cited 3356 times)","Washington University Law Quarterly, Vol. 73, Issue 3 (Fall 1995), pp. 983-988",5,na,2," Constitutional Law, International Law, Legal Analysis and Writing, Jurisprudence"
0,Tainted Law [comments],"Dorf, Michael C. (Cited 3356 times)","University of Cincinnati Law Review, Vol. 80, Issue 3 (Spring 2012), pp. 923-944",5,na,7," Public Schools, Schools, Consent, Desegregation, Boundaries, Constitutional Law, Equal Protection, School Districts"
0,"Courts, Reasons, and Rules [article]","Dorf, Michael C. (Cited 3356 times)","QLR, Vol. 19, Issue 3 (2000), pp. 483-504",4,na,2," Courts, Judges, Shelters, Jurisprudence"
0,Drug Treatment Courts and Emergent Experimentalist Government [article],"Dorf, Michael C. (Cited 3356 times); Sabel, Charles F. (Cited 1528 times)","Vanderbilt Law Review, Vol. 53, Issue 3 (April 2000), pp. 829-884",4,na,33," Courts, Government, Legal Profession, Evidence"
