,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Judge Harry Edwards: A Case in Point [article],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Washington University Law Quarterly, Vol. 80, Issue 4 (2002), pp. 1275-1290",13,na,2," Biography, Legal Analysis and Writing, Judges, Appellate Courts, Civil Rights, Courts, Negotiable Instruments"
0,A Global Law of Jurisdiction and Judgements: Views from the United States and Japan [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell International Law Journal, Vol. 37, Issue 1 (2004), pp. 1-26",12,1,18," Comparative Law, Jurisdiction, Practice and Procedure, States, Documents, Choice of Law"
0,Governing Law on Forum-Selection Agreements [article],"Clermont, Kevin M. (Cited 2349 times)","Hastings Law Journal, Vol. 66, Issue 3 (2015), pp. 643-674",12,3,42," Choice of Law, Contracts, Common Law, Conflict of Laws, Courts, Organizations"
0,Death of Paradox: The Killer Logic beneath the Standards of Proof [article],"Clermont, Kevin M. (Cited 2349 times)","Notre Dame Law Review, Vol. 88, Issue 3 (February 2013), pp. 1061-1138",11,na,18," Death, Proof, Jurisprudence, Sociology"
0,Simplifying the Choice of Forum: A Reply [comments],"Clermont, Kevin M. (Cited 2349 times); Eisenberg, Theodore (Cited 6193 times)","Washington University Law Quarterly, Vol. 75, Issue 4 (Winter 1997), pp. 1551-1560",7,na,na," Jurisdiction, Courts, Contracts, Federal Courts, History, Practice and Procedure, Procedure"
0,"Teaching Civil Procedure through Its Top Ten Cases, Plus or Minus Two [article]","Clermont, Kevin M. (Cited 2349 times)","Saint Louis University Law Journal, Vol. 47, Issue 1 (Winter 2003), pp. 111-126",6,na,3," Civil Procedure, Procedure, Domestic Violence, Police, Violence, Sentencing"
0,Integrating Transnational Perspectives into Civil Procedure: What Not to Teach [notes],"Clermont, Kevin M. (Cited 2349 times)","Journal of Legal Education, Vol. 56, Issue 4 (2006), pp. 524-538",6,na,7," Practice and Procedure, Comparative Law, International Law"
0,Class Certification's Preclusive Effects [article],"Clermont, Kevin M. (Cited 2349 times)","University of Pennsylvania Law Review PENNumbra, Vol. 159, pp. 203-230",4,na,5," Practice and Procedure, Defendants"
0,Common-Law Compulsory Counterclaim Rule: Creating Effective and Elegant Res Judicata Doctrine [article],"Clermont, Kevin M. (Cited 2349 times)","Notre Dame Law Review, Vol. 79, Issue 5 (October 2004), pp. 1745-1760",4,5,14," Common Law, Res Judicata, Practice and Procedure"
0,"Trial by Traditional Probability, Relative Plausibility, or Belief Function [article]","Clermont, Kevin M. (Cited 2349 times)","Case Western Reserve Law Review, Vol. 66, Issue 2 (Winter 2015), pp. 353-392",3,na,13," Jurisprudence, Practice and Procedure, Proof, Eighth Amendment, Life Without Parole, Parole"
0,Aggregation of Probabilities and Illogic [article],"Clermont, Kevin M. (Cited 2349 times)","Georgia Law Review, Vol. 47, Issue 1 (Fall 2012), pp. 165-180",3,na,6," Death, Proof, Negligence"
0,Why Law Teachers Should Teach Undergraduates [comments],"Clermont, Kevin M. (Cited 2349 times); Hillman, Robert A. (Cited 1454 times)","Journal of Legal Education, Vol. 41, Issue 2 (1991), pp. 289-298",3,na,2," Teachers, Arts, Education, Legal Education"
0,Degrees of Deference: Applying vs. Adopting Another Sovereign's Law [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Review, Vol. 103, Issue 2 (January 2018), pp. 243-310",2,na,45," Conflict of Laws, Drones, Immunity, Indian Law, Sovereign Immunity"
0,Solving the Puzzle of Transnational Class Actions [article],"Clermont, Kevin M. (Cited 2349 times)","Indiana Law Journal Supplement, Vol. 90, pp. 69-77",2,na,5," Class Actions, Res Judicata, Citizen Suit, Judgments"
0,Res Judicata as Requisite for Justice [article],"Clermont, Kevin M. (Cited 2349 times)","Rutgers University Law Review, Vol. 68, Issue 3 (Spring 2016), pp. 1067-1142",2,1,24," Comparative Law, Practice and Procedure, Res Judicata, Common Law, Civil Procedure"
0,Limiting the Last-in-Time Rule for Judgments [article],"Clermont, Kevin M. (Cited 2349 times)","Review of Litigation, Vol. 36, Issue 1 (Winter 2017), pp. 1-54",2,na,18," Judgments, Credit, Full Faith and Credit, Jurisdiction, Res Judicata"
0,Common Sense on Standards of Proof [article],"Clermont, Kevin M. (Cited 2349 times)","Seton Hall Law Review, Vol. 48, Issue 4 (2018), pp. 1057-1080",2,na,23," Proof, Jury"
0,Civil Procedure's Five Big Ideas [article],"Clermont, Kevin M. (Cited 2349 times)","Michigan State Law Review, Vol. 2016, Issue 1 (2016), pp. 55-108",1,na,18," Civil Procedure, Jurisdiction, Legal Education, Practice and Procedure, Procedure"
0,Resolving the Law School's Biggest Problem [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Forum, Vol. 5, Issue 3 (February 1979), pp. 16-20",na,na,na," Ethics, Legal Ethics, Technology, Arts, Franchising, Schools"
0,A Decade of Curricular Reform [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Forum, Vol. 16, Issue 3 (March 1990), pp. 7-11",na,na,1," Legal Education, Education, Curriculum"
0,Point/Counterpoint [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Forum, Vol. 31, Issue 3 (Spring 2005), pp. 10-13",na,na,1," Defendants, Jury, Judges, Practice and Procedure, Government"
0,When East Met West: 125 Years of Japanese Law Students at Cornell [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Forum, Vol. 39, Issue 1 (Spring 2013), pp. 4-9",na,na,1," Law Students, Students, Debt, International Law"
0,The Life of George Washington Fields [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Forum, Vol. 39, Issue 2 (Fall 2013), pp. 4-13",na,na,na," Criminal Law and Procedure, Legal History, Jurisprudence, Law and Society"
0,Mary Kennedy Brown: Our First Woman Lawyer's Dramatic Life [article],"Clermont, Kevin M. (Cited 2349 times)","Cornell Law Forum, Vol. 41, Issue 2 (Fall 2015), pp. 10-15",na,na,na," Students, Law Students, Women"
0,"A Photo Essay: Frances Kellor, LL.B. 1897 [article]","Clermont, Kevin M. (Cited 2349 times); Le Roy, Clotilde","Cornell Law Forum, Vol. 43, Issue 2 (Fall 2017), pp. 12-19",na,na,10," International Law, Dispute Resolution, Criminal Law and Procedure"
