,First Name,Last Name,Title,School,School URL,School URL short
254,Candice,Player,NA,Northwestern,https://www.northwestern.edu/,northwestern
255,Destiny,Peery,NA,Northwestern,https://www.northwestern.edu/,northwestern
256,Christian,Burset,NA,Notre Dame,https://www.nd.edu/,nd
257,Sadie,Blanchard,NA,Notre Dame,https://www.nd.edu/,nd
258,Marah Stith,McLeod,NA,Notre Dame,https://www.nd.edu/,nd
259,Veronica,Root,NA,Notre Dame,https://www.nd.edu/,nd
260,Emiliano Marambio,Catan,NA,NYU,https://www.nyu.edu/,nyu
261,Dallan,Flake,NA,Ohio Northern,https://www.onu.edu/,onu
262,Erica,Goldberg,NA,Ohio Northern,https://www.onu.edu/,onu
263,Karen,Hall,NA,Ohio Northern,https://www.onu.edu/,onu
264,Karen,Powell,NA,Ohio Northern,https://www.onu.edu/,onu
265,Courtlyn,Roser-Jones,NA,Ohio State,https://www.osu.edu/,osu
266,Matthew,Birkhold,NA,Ohio State,https://www.osu.edu/,osu
267,Bryan,Choi,NA,Ohio State,https://www.osu.edu/,osu
268,Ari,Glogower,NA,Ohio State,https://www.osu.edu/,osu
269,Mohamed,Helal,NA,Ohio State,https://www.osu.edu/,osu
270,Amna,Akbar,NA,Ohio State,https://www.osu.edu/,osu
271,Margot E.,Kaminski,NA,Ohio State,https://www.osu.edu/,osu
272,Roger,Michalski,NA,Oklahoma,www.ou.edu/,ou
273,Melissa,Mortazavi,NA,Oklahoma,www.ou.edu/,ou
274,Joshua,Sellers,NA,Oklahoma,www.ou.edu/,ou
275,Kristen,Bell,NA,Oregon,https://www.uoregon.edu/,uoregon
276,Jonathan,Brown,NA,Pace,https://www.pace.edu/,pace
277,Margot,Pollans,NA,Pace,https://www.pace.edu/,pace
278,Maggie,McKinley,NA,Penn,https://www.upenn.edu/,upenn
279,Ryan,Doerfler,NA,Penn,https://www.upenn.edu/,upenn
280,Martin,Skladany,NA,Penn State,https://www.psu.edu/,psu
281,Megan,Wright,NA,Penn State (University Park),https://www.psu.edu/,psu
282,Ben,Johnson,NA,Penn State (University Park),https://www.psu.edu/,psu
283,Matthew,Lawrence,NA,Penn State Dickinson,https://dickinsonlaw.psu.edu/,dickinsonlaw.psu
284,David,Thaw,NA,Pitt,https://www.pitt.edu/,pitt
285,Greer,Donley,NA,Pittsburgh,https://www.pitt.edu/,pitt
286,Jaime,Lluch,NA,Puerto Rico Poli Sci Dept,https://polsci.umass.edu/people/roberto-alejandro,polsci.umass
287,Alyssa,King,NA,Queen's,https://www.queensu.ca/,queensu
288,Jennifer,Levine,NA,Quinnipiac,https://www.qu.edu/,qu
289,Alex G.,Sinha,NA,Quinnipiac,https://www.qu.edu/,qu
290,Luke,Norris,NA,Richmond,https://www.richmond.edu/,richmond
291,Hayes,Holderness,NA,Richmond,https://www.richmond.edu/,richmond
292,Daniel,Schaffa,NA,Richmond,https://www.richmond.edu/,richmond
293,Jud,Campbell,NA,Richmond,https://www.richmond.edu/,richmond
294,Erin,Collins,NA,Richmond,https://www.richmond.edu/,richmond
295,Paul,Crane,NA,Richmond,https://www.richmond.edu/,richmond
296,Allison Anna,Tait,NA,Richmond,https://www.richmond.edu/,richmond
297,CJ,Ryan,NA,Roger Williams,https://www.rwu.edu/,rwu
298,Adnan,Zulfiqar,NA,Rutgers,https://www.rutgers.edu/,rutgers
299,Alexis,Karteron,NA,Rutgers (Camden),https://www.camden.rutgers.edu/,camden.rutgers
300,Kirsten,Nussbaumer,NA,Rutgers (Camden),https://www.camden.rutgers.edu/,camden.rutgers
301,Jacob Hale,Russell,NA,Rutgers (Camden),https://www.camden.rutgers.edu/,camden.rutgers
302,Tracey M.,Roberts,NA,Samford (Cumberland),https://www.samford.edu/cumberlandlaw/,samford
