,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short
58,Christopher,Bruner,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,University of Georgia,http://uga.edu,uga.edu
59,Tonya,Evans,NA,Widener University Commonwealth,https://commonwealthlaw.widener.edu/,commonwealthlaw.widener.edu,University of New Hampshire,http://unh.edu,unh.edu
60,Catherine,Fisk,NA,"University of California, Irvine",http://uci.edu,uci.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu
61,Victor,Flatt,NA,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,University of Houston,www.uh.edu/,uh.edu
62,Sheila,Foster,NA,Fordham University,http://fordham.edu,fordham.edu,Georgetown University,http://georgetown.edu,georgetown.edu
63,Brett,Frischmann,NA,Cardozo Law School/Yeshiva University,https://cardozo.yu.edu/,cardozo.yu.edu,Villanova University,http://villanova.edu,villanova.edu
64,David,Gamage,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,"Indiana University, Bloomington",http://iub.edu,iub.edu
65,Rachel,Godsil,NA,Seton Hall University,http://shu.edu,shu.edu,Rutgers University,http://rutgers.edu,rutgers.edu
66,Sarah,Haan,NA,University of Idaho,http://uidaho.edu,uidaho.edu,Washington & Lee University,https://www.wlu.edu/,wlu.edu
67,Sam,Halabi,NA,University of Tulsa,http://utulsa.edu,utulsa.edu,"University of Missouri, Columbia",https://missouri.edu/,missouri.edu
68,Woodrow,Hartzog,NA,"Cumberland School of Law, Samford University",https://www.samford.edu/cumberlandlaw/,samford.edu,Northeastern University,http://northeastern.edu,northeastern.edu
69,David,Hasen,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu
70,Allison,Hoffman,NA,"University of California, Los Angeles",http://ucla.edu,ucla.edu,University of Pennsylvania,http://upenn.edu,upenn.edu
71,David,Hoffman,NA,Temple University,http://temple.edu,temple.edu,University of Pennsylvania,http://upenn.edu,upenn.edu
