,Unnamed: 0,First Name,Last Name,Title,School,School URL,School URL short,id
127,127,Stephanie,Bornstein,,Florida,www.ufl.edu/,ufl,2360
128,128,Sarah,Swan,,Florida State,https://www.fsu.edu/,fsu,7997
129,129,Lauren Henry,Scholz,,Florida State,https://www.fsu.edu/,fsu,8742
130,130,Avlana,Eisenberg,,Florida State,https://www.fsu.edu/,fsu,2078
131,131,Justin,Sevier,,Florida State,https://www.fsu.edu/,fsu,158
132,132,Janet,Freilich,,Fordham,https://www.fordham.edu/,fordham,9843
133,133,Robert,Leider,,George Mason,https://www2.gmu.edu/,gmu,2461
134,134,Caroline,Cecot,,George Mason,https://www2.gmu.edu/,gmu,2764
135,135,Jennifer,Mascott,,George Mason,https://www2.gmu.edu/,gmu,2432
136,136,Paolo,Saguato,,George Mason,https://www2.gmu.edu/,gmu,5052
137,137,Megan,Stevenson,,George Mason,https://www2.gmu.edu/,gmu,9573
138,138,Amanda,Levendowski,,Georgetown,https://www.georgetown.edu/,georgetown,6022
139,139,Kevin,Arlyck,,Georgetown,https://www.georgetown.edu/,georgetown,5455
140,140,Shon,Hopwood,,Georgetown,https://www.georgetown.edu/,georgetown,6777
141,141,Sherally,Munshi,,Georgetown,https://www.georgetown.edu/,georgetown,4227
142,142,Neel,Sukhatme,,Georgetown,https://www.georgetown.edu/,georgetown,3940
143,143,Yvonne,Tew,,Georgetown,https://www.georgetown.edu/,georgetown,1592
144,144,Jamillah Bowman,Williams,,Georgetown,https://www.georgetown.edu/,georgetown,698
145,145,Anne,Fleming,,Georgetown,https://www.georgetown.edu/,georgetown,6336
146,146,Lindsey,Simon,,Georgia,https://www.uga.edu/,uga,9162
147,147,Sandra,Mayson,,Georgia,https://www.uga.edu/,uga,1930
148,148,Patti,Zettler,,Georgia State,https://www.gsu.edu/,gsu,9221
149,149,Kate,Weisburd,,GW,https://www.gwu.edu/,gwu,3686
150,150,Dmitry,Karshtedt,,GW,https://www.gwu.edu/,gwu,4143
151,151,Nikolas,Bowie,,Harvard,https://www.harvard.edu/,harvard,7291
152,152,Anna,Lvovsky,,Harvard,https://www.harvard.edu/,harvard,8981
153,153,Elizabeth Papp,Kamali,,Harvard,https://www.harvard.edu/,harvard,4126
