,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,The Duke Project on Custom and Law [comments],"Bradley, Curtis A. (Cited 4302 times); Gulati, Mitu (Cited 1596 times)","Duke Law Journal, Vol. 62, Issue 3 (December 2012), pp. 529-534",2,na,6," Banking, Bankruptcy Law, Consumer Protection Law, Economics, Legal History, Legislation, Politics, Second Amendment, Trade Regulation, Judges"
0,Introduction to Agora: Reflections on Zivotofsky v. Kerry [comments],"Bradley, Curtis A. (Cited 4302 times); Vazquez, Carlos M. (Cited 192 times)","AJIL Unbound, Vol. 109, pp. 1-1",2,na,7," International Law, President/Executive Department, Military, War and Peace, Constitutional Law, Politics"
0,Introduction to the Symposium on the Present and Future of Foreign Official Immunity [comments],"Bradley, Curtis A. (Cited 4302 times)","AJIL Unbound, Vol. 112, pp. 1-3",2,na,50," Diplomatic Privileges and Immunities, Government Liability, Jurisdiction, International Law"
0,"Federalism, Treaty Implementation, and Political Process: Bond v. United States [decisions]","Bradley, Curtis A. (Cited 4302 times)","American Journal of International Law, Vol. 108, Issue 3 (July 2014), pp. 486-496",2,na,19," International Law, President/Executive Department, Supreme Court of the United States, Constitutional Law"
0,"The ATS, the TVPA, and the Future of International Human Rights Litigation [notes]","Bradley, Curtis A. (Cited 4302 times)","Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 108, pp. 145-148",1,na,3," Human Rights, Torture, Human Rights Law, Torts, Civil Procedure, Jurisdiction"
0,Introduction [comments],"Bradley, Curtis A. (Cited 4302 times)","Colorado Journal of International Environmental Law and Policy, Vol. 7, Issue 1 (Winter 1996), pp. 107-110",1,na,2," Biodiversity, Biotechnology, Politics, Diplomacy, Environment, Intellectual Property, Intellectual Property Law, Property, United Nations"
0,Emergency Power and Two-Tiered Legality [article],"Bradley, Curtis A. (Cited 4302 times)","Duke Law Journal Online, Vol. 63, pp. 1-14",1,na,30," Judicial Review, Jurisprudence, President/Executive Department"
0,Clear Statement Rules and Executive War Powers [article],"Bradley, Curtis A. (Cited 4302 times)","Harvard Journal of Law & Public Policy, Vol. 33, Issue 1 (Winter 2010), pp. 139-148",1,na,9," War, War Powers, Constitutional Law, Habeas Corpus, Military, War and Peace, President/Executive Department, Military Law"
0,"Bond, Clear Statement Requirements, and Political Process [article]","Bradley, Curtis A. (Cited 4302 times)","AJIL Unbound, Vol. 108, pp. 83-85",1,na,2," Constitutional Law, International Law, President/Executive Department, Supreme Court of the United States"
0,Foreign Relations Law as a Field of Study [article],"Bradley, Curtis A. (Cited 4302 times)","AJIL Unbound, Vol. 111, pp. 316-320",1,na,2," Foreign Investment, Legal Analysis and Writing, International Law, Legal History, Politics, International Relations"
0,The Supreme Court as a Filter between International Law and American Constitutionalism [notes],"Bradley, Curtis A. (Cited 4302 times)","California Law Review, Vol. 104, Issue 6 (December 2016), pp. 1567-1578",1,na,15," International Law, Torts, President/Executive Department"
0,Mandatory versus Default Rules: How Can Customary International Law Be Improved,"Bradley, Curtis A. (Cited 4302 times); Gulati, Mitu (Cited 1596 times)",na,na,na,na,na
0,"International Human Rights Law, Foreign Sovereign Immunity, and National Courts: Introductory Remarks [comments]","Bradley, Curtis A. (Cited 4302 times)","American Society of International Law Proceedings, Vol. 104, pp. 63-64",na,na,1," Diplomatic Privileges and Immunities, Executive Powers, Human Rights, International Law, President/Executive Department, Customary Law, Maritime Law"
0,Pinochet and International Human Rights Litigation [article],"Bradley, Curtis A. (Cited 4302 times); Goldsmith, Jack L. (Cited 2779 times)","Michigan Law Review, Vol. 97, Issue 7 (June 1999), pp. 2129-2184",na,na,na,na
0,Military Commissions and Terrorist Enemy Combatants [article],"Bradley, Curtis A. (Cited 4302 times)","Stanford Journal of Civil Rights & Civil Liberties, Vol. 2, Issue 2 (August 2006), pp. 253-258",na,na,1," States, Supreme Court of the United States, Congress, Constitutional Law, Military Law, Due Process"
0,Foreword [comments],"Bradley, Curtis A. (Cited 4302 times); Kelley, Judith G. (Cited 46 times)","Law and Contemporary Problems, Vol. 71, Issue 1 (Winter 2008), pp. [iii]-[viii]",na,na,na," International Law, Criminal Law and Procedure, Military, War and Peace"
0,"Introduction to Agora, Part II: Reflections on Zivotofsky v. Kerry [comments]","Bradley, Curtis A. (Cited 4302 times); Vazquez, Carlos M. (Cited 192 times)","AJIL Unbound, Vol. 109, pp. 44-44",na,na,na," International Law, Military, War and Peace, President/Executive Department, Constitutional Law, Politics, Immigration Law"
0,Introduction to Symposium on Comparative Foreign Relations Law [comments],"Bradley, Curtis A. (Cited 4302 times)","AJIL Unbound, Vol. 111, pp. 314-315",na,na,3," Foreign Investment, Legal Analysis and Writing, International Law, Legal History, Politics"
0,The Court and the World: American Law and the New Global Realities [reviews],"Bradley, Curtis A. (Cited 4302 times)","American Journal of International Law, Vol. 110, Issue 1 (January 2016), pp. 130-134",na,na,6," International Law, Jurisdiction, Torts, Constitutional Law, Jurisprudence"
0,President Obama's War Powers Legacy [article],"Bradley, Curtis A. (Cited 4302 times)","American Journal of International Law, Vol. 110, Issue 4 (October 2016), pp. 625-627",na,na,8," President/Executive Department, Constitutional Law, Military, War and Peace, Politics, Terrorism"
0,Terror and the Law - The Limits of Judicial Reasoning in the Post-9/11 World [comments],"Bradley, Curtis A. (Cited 4302 times)","Foreign Affairs , Vol. 87, Issue 4 (July/August 2008), pp. 132-137",na,na,4," Rule of Law, Courts, National Security, Detention"
