,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Selling State Borders [article],"Blocher, Joseph (Cited 581 times)","University of Pennsylvania Law Review, Vol. 162, Issue 2 (January 2014), pp. 241-306",7,na,8," International Law, Politics, Immigration Law, Military Law, Military, War and Peace"
0,Competing for Refugees: A Market-Based Solution to a Humanitarian Crisis [article],"Blocher, Joseph (Cited 581 times); Gulati, Mitu (Cited 1596 times)","Columbia Human Rights Law Review, Vol. 48, Issue 1 (Fall 2016), pp. 53-111",5,na,90," Immigration Law, Refugees, Human Rights Law, Military, War and Peace, Remedies, Photographs"
0,From Theory to Doctrine: An Empirical Analysis of the Right to Keep and Bear Arms after Heller [article],"Ruben, Eric (Cited 5 times); Blocher, Joseph (Cited 581 times)","Duke Law Journal, Vol. 67, Issue 7 (April 2018), pp. 1433-1510",5,2,87," Second Amendment, First Amendment"
0,"Public Discourse, Expert Knowledge, and the Press [article]","Blocher, Joseph (Cited 581 times)","Washington Law Review, Vol. 87, Issue 2 (June 2012), pp. 409-444",5,na,5," Communications Law, First Amendment, Democracy"
0,What State Constitutional Law Can Tell Us about the Federal Constitution [article],"Blocher, Joseph (Cited 581 times)","Penn State Law Review, Vol. 115, Issue 4 (Spring 2011), pp. 1035-1050",5,na,8," Constitutional Law, Incorporation, State and Local Government Law"
0,Good Cause Requirements for Carrying Guns in Public [article],"Blocher, Joseph (Cited 581 times)","Harvard Law Review Forum, Vol. 127, pp. 218-222",4,4,8," Right to Bear Arms, States, Second Amendment, Constitutional Rights"
0,Second Things First: What Free Speech Can and Can't Say about Guns [comments],"Blocher, Joseph (Cited 581 times)","Texas Law Review See Also, Vol. 91, pp. 37-48",4,na,3," Second Amendment, First Amendment, Regulation, Zoning"
0,Roberts' Rules: The Assertiveness of Rules-Based Jurisprudence [article],"Blocher, Joseph (Cited 581 times)","Tulsa Law Review, Vol. 46, Issue 3 (Spring 2011), pp. 431-448",3,na,7," Jurisprudence, Admiralty, Jurisdiction, Water"
0,Forced Secessions [article],"Blocher, Joseph (Cited 581 times); Gulati, Mitu (Cited 1596 times)","Law and Contemporary Problems, Vol. 80, Issue 1 (2017), pp. 215-254",3,na,15," Human Rights Law, Constitutional Law, Emigration and Immigration, International Law, Politics"
0,A Market for Sovereign Control [article],"Blocher, Joseph (Cited 581 times); Gulati, Mitu (Cited 1596 times)","Duke Law Journal, Vol. 66, Issue 4 (January 2017), pp. 797-844",3,na,28," International Law, Politics, Indian Law, Law of the Sea"
0,"Lethality, Public Carry, and Adequate Alternatives [article]","Blocher, Joseph (Cited 581 times); Miller, Darrell A.H. (Cited 7 times)","Harvard Journal on Legislation, Vol. 53, Issue 1 (Winter 2016), pp. 279-302",3,na,23," Second Amendment, Supreme Court of the United States, International Law, Military Law, Weapons"
0,Hunting and the Second Amendment [article],"Blocher, Joseph (Cited 581 times)","Notre Dame Law Review, Vol. 91, Issue 1 (November 2015), pp. 133-176",3,na,34," Second Amendment, Legal History, Violence, Weapons"
0,The Death Penalty and the Fifth Amendment [article],"Blocher, Joseph (Cited 581 times)","Northwestern University Law Review Online, Vol. 111, pp. 1-18",3,na,21," Criminal Law and Procedure, Sentencing, Sentencing and Punishment, Legal History"
0,New Approaches to Old Questions in Gun Scholarship [reviews],"Blocher, Joseph (Cited 581 times)","Tulsa Law Review, Vol. 50, Issue 2 (Winter 2015), pp. 477-490",2,3,10," Second Amendment, Gender, Self-Defense"
0,New Problems for Subsidized Speech [article],"Blocher, Joseph (Cited 581 times)","William & Mary Law Review, Vol. 56, Issue 4 (March 2015), pp. 1083-1118",1,na,10," Supreme Court of the United States, Constitutional Law, Transportation Law, First Amendment"
0,The Death Penalty and the Fifth Amendment [article],"Blocher, Joseph (Cited 581 times)","Northwestern University Law Review, Vol. 111, Issue 1 (2016), pp. 275-294",1,na,34," Criminal Law and Procedure, Sentencing, Legal History, Sentencing and Punishment"
0,Foreword: How to Think about Law and Markets [comments],"Blocher, Joseph (Cited 581 times); Krawiec, Kimberly D. (Cited 866 times)","Law and Contemporary Problems, Vol. 80, Issue 1 (2017), pp. 1-10",1,na,32," Banking, Bankruptcy Law, Consumer Protection Law, Economics, Legal History, Legislation, Politics, Second Amendment, Trade Regulation, International Trade"
0,Order without Judges: Customary Adjudication [article],"Blocher, Joseph (Cited 581 times)","Duke Law Journal, Vol. 62, Issue 3 (December 2012), pp. 579-606",1,na,6," Judges, Intellectual Property, Intellectual Property Law, Property, Jurisprudence, Municipalities"
