,LateralYear,ID,First Name,LastName,Moved From,Moved To,Gender,Gender Label
167,2016,3962,Fatma,Marouf,"University of Nevada, Las Vegas",Texas A&M University,female,0
168,2013,1538,Ruth,Mason,University of Connecticut,University of Virginia,female,0
169,2017,5016,Dayna,Matthew,"University of Colorado, Boulder",University of Virginia,female,0
170,2012,3833,Jason,Mazzone,Brooklyn Law School,University of Illinois,male,1
171,2013,4922,Grayson,McCouch,University of San Diego,"University of Florida, Gainesville",male,1
172,2014,2384,Patricia,McCoy,University of Connecticut,Boston College,female,0
173,2018,6962,Justin,McCrary,"University of California, Berkeley",Columbia University,male,1
174,2013,2556,Mathew,McCubbins,University of Southern California,Duke University,male,1
175,2015,7712,Ajay,Mehrotra,"Indiana University, Bloomington",Northwestern University,male,1
176,2017,3369,Pamela,Metzger,Tulane University,Southern Methodist University,female,0
177,2015,7702,Tim,Meyer,University of Georgia,Vanderbilt University,male,1
178,2013,6239,Bernadette,Meyler,Cornell University,Stanford University,female,0
179,2018,1650,Curtis,Milhaupt,Columbia University,Stanford University,male,1
180,2013,1459,Darrell,Miller,University of Cincinnati,Duke University,male,1
181,2012,2856,Robert,Miller,Villanova University,University of Iowa,male,1
182,2017,8561,Nicholas,Mirkay,Creighton University,University of Hawaii,male,1
183,2016,2582,Thomas,Mitchell,"University of Wisconsin, Madison",Texas A&M University,male,1
184,2018,543,Seema,Mohapatra,Barry University,"Indiana University, Indianapolis",female,0
185,2012,1863,Edward,Morrison,Columbia University,University of Chicago,male,1
186,2013,5913,Susan,Morse,"University of California, Hastings","University of Texas, Austin",female,0
187,2017,3888,Samuel,Moyn,Harvard University,Yale University,male,1
188,2018,4224,Melissa,Murray,"University of California, Berkeley",New York University,female,0
189,2017,7264,Alexandra,Natapoff,"Loyola Law School, Los Angeles","University of California, Irvine",female,0
190,2017,113,Douglas,NeJaime,"University of California, Los Angeles",Yale University,male,1
191,2014,8686,Xuan-Thao,Nguyen,Southern Methodist University,"Indiana University, Indianapolis",unknown,2
192,2012,9064,Victoria,Nourse,"University of Wisconsin, Madison",Georgetown University,female,0
193,2018,3463,Anne,O'Connell,"University of California, Berkeley",Stanford University,female,0
194,2017,5142,Shu-Yi,Oei,Tulane University,Boston College,andy,2
195,2015,1675,Paul,Ohm,"University of Colorado, Boulder",Georgetown University,male,1
196,2017,5702,Ruth,Okediji,University of Minnesota,Harvard University,female,0
197,2014,5382,Saule,Omarove,"University of North Carolina, Chapel Hill",Cornell University,female,0
198,2016,9216,Angela,Onwuachi-Willig,University of Iowa,"University of California, Berkeley",female,0
199,2017,2257,David,Orentlicher,"Indiana University, Indianapolis","University of Nevada, Las Vegas",male,1
200,2018,5914,Leigh,Osofsky,University of Miami,"University of North Carolina, Chapel Hill",mostly_female,0
201,2015,2636,Dave,Owen,University of Maine,"University of California, Hastings",male,1
202,2015,6137,Mary-Rose,Papandrea,Boston College,"University of North Carolina, Chapel Hill",unknown,2
203,2016,2085,Jordan,Paradise,Seton Hall University,"Loyola University, Chicago",male,1
204,2012,9014,Rafael,Pardo,University of Washington at Seattle,Emory University,male,1
205,2013,3273,James,Park,Brooklyn Law School,"University of California, Los Angeles",male,1
206,2012,3957,Ed,Parson,University of Michigan,"University of California, Los Angeles",male,1
207,2017,6118,Frank,Partnoy,University of San Diego,"University of California, Berkeley",male,1
208,2013,7891,Frank,Pasquale,Seton Hall University,University of Maryland,male,1
209,2013,32,Eduardo,Penalver,Cornell University,University of Chicago,male,1
210,2013,8400,Nathaniel,Persily,Columbia University,Stanford University,male,1
211,2016,1948,Gregg,Polsky,"University of North Carolina, Chapel Hill",University of Georgia,male,1
212,2012,1038,H.,Powell,George Washington University,Duke University,unknown,2
213,2014,3697,Wendell,Pritchett,"Rutgers University, Camden",University of Pennsylvania,male,1
214,2015,3173,Scott,Pryor,Regent University,Campbell University,male,1
215,2013,8905,Ellen,Pryor,Southern Methodist University,University of North Texas,female,0
216,2018,512,Jedediah,Purdy,Duke University,Columbia University,male,1
217,2014,8644,Intisar,Rabb,New York University,Harvard University,female,0
218,2015,8208,Srividhya,Ragavan,"University of Oklahoma, Norman",Texas A&M University,unknown,2
219,2014,1524,Robert,Rhee,University of Maryland,"University of Florida, Gainesville",male,1
220,2014,2780,L.,Richardson,University of Iowa,"University of California, Irvine",unknown,2
221,2017,0,Alice,Ristroph,Seton Hall University,Brooklyn Law School,female,0
222,2014,972,Kalyani,Robbins,University of Akron,Florida International University,female,0
223,2012,2123,Dorothy,Roberts,Northwestern University,University of Pennsylvania,female,0
224,2016,1446,Edward,Rock,University of Pennsylvania,New York University,male,1
225,2013,8064,Cristina,Rodriguez,New York University,Yale University,female,0
226,2018,7757,Christopher,Roederer,Florida Coastal Law School,University of Dayton,male,1
227,2012,13,Jim,Rossi,Florida State University,Vanderbilt University,male,1
228,2014,1663,Troy,Rule,University of Missouri,Arizona State University,male,1
229,2015,1349,Erin,Ryan,Lewis & Clark College,Florida State University,mostly_female,0
230,2017,7569,Victoria,Sahani,Washington & Lee University,Arizona State University,female,0
231,2018,8988,Hillary,Sale,"Washington University, St. Louis",Georgetown University,female,0
232,2015,688,James,Salzman,Duke University,"University of California, Los Angeles",male,1
233,2012,7437,Adam,Samaha,University of Chicago,New York University,male,1
234,2016,1320,Amy,Schmitz,"University of Colorado, Boulder","University of Missouri, Columbia",female,0
235,2015,6280,David,Schwartz,Chicago-Kent College of Law,Northwestern University,male,1
236,2013,1098,Christopher,Serkin,Brooklyn Law School,Vanderbilt University,male,1
237,2014,7154,Gregory,Shaffer,"University of Minnesota, Twin Cities","University of California, Irvine",male,1
238,2013,7109,Darien,Shanske,"University of California, Hastings","University of California, Davis",male,1
239,2015,4784,Jessica,Silbey,Suffolk University,Northeastern University,female,0
240,2017,5433,Michael,Simkovic,Seton Hall University,University of Southern California,male,1
241,2015,8367,Kenneth,Simons,Boston University,"University of California, Irvine",male,1
242,2014,9155,David,Sklansky,"University of California, Berkeley",Stanford University,male,1
