,First Name,Last Name,School,AALS Name,AALS School,Fuzz List
101,W. B.,Carter,George Washington ,W. Carter,The George Washington University Law School,86
102,Larry,Cata Backer,Penn State Law ,Larry Cata Backer,The Pennsylvania State University – Penn State Law,100
103,Eunice M.,Caussade,Florida A&M ,Eunice Caussade,Florida A&M University College of Law,91
104,Jennifer M.,Chacon,U.C.L.A. ,Jennifer Chacon,"University of California, Los Angeles School of Law",91
105,Henry L.,Chambers,Jr. Richmtmd ,Henry Chambers,The University of Richmond School of Law,90
106,Kim D.,Chanbonpin,John Marshall ,Kim Chanbonpin,UIC John Marshall Law School,90
107,Felix B.,Chang,Cincinnati ,Felix Chang,University of Cincinnati College of Law,88
108,Robert S.,Chang,Seattle ,Robert Chang,Seattle University School of Law,89
109,Stewart,Chang,Whittier ,Stewart Chang,Whittier Law School,100
110,Bernard,Chao,Denver ,Bernard Chao,University of Denver Sturm College of Law,100
111,Matthew H.,Charily,Western New England ,NA,NA,0
112,Guy-Uriel E.,Charles,Duke ,Guy-Uriel Charles,Duke University School of Law,92
113,Carliss N,Chatman,Northern Illinois ,Carliss Chatman,Washington and Lee University School of Law,94
114,Alan K.,Chen,Denver ,Alan Chen,University of Denver Sturm College of Law,86
115,Frederick Tse'shyang,Chen,Quinnipiac Univ. ,Frederick Chen,Quinnipiac University School of Law,72
116,Ming Hsu,Chen,Colorado ,Ming Chen,University of Colorado Law School,82
117,Richard,Chen,Maine ,Richard Chen,University of Maine School of Law,100
118,Ronald K.,Chen,Rutgers ,Ronald Chen,Rutgers Law School,88
119,Pat K.,Chew,Pittsburgh ,Pat Chew,University of Pittsburgh School of Law,84
120,Sanjay,Chhablani,Syracuse ,Sanjay Chhablani,Syracuse University College of Law,100
121,Gabriel “Jack”,Chin,UC Davis,Gabriel Chin,"University of California, Davis, School of Law",77
122,Stuart,Chinn,Oregon ,Stuart Chinn,University of Oregon School of Law,100
123,Tuneen,Chisolm,Campbell ,Tuneen Chisolm,Campbell University Norman Adrian Wiggins School of Law,100
124,Sungjoon,Cho,Chicago-Kent ,Sungjoon Cho,"Chicago-Kent College of Law, Illinois Institute of Technology",100
125,Margaret,Chon,Seattle ,Margaret Chon,Seattle University School of Law,100
126,Cyra A.,Choudhury,Florida Intl ,Cyra Choudhury,Florida International University College of Law,90
127,Brietta R.,Clark,Loyola Los Angeles,Brietta Clark,"Loyola Law School, Los Angeles",90
128,Hunter R.,Clark,Drake ,Hunter Clark,Drake University Law School,89
129,Sherman J.,Clark,Michigan ,Sherman Clark,The University of Michigan Law School,90
130,C. Antoinette,Clarke,Ohio Northern ,Annette Clark,Seattle University School of Law,79
131,Khelani,Clay,American ,Khelani Clay,"American University, Washington College of Law",100
132,Kimberly,Cogdell Boies,North Car. Central ,Kimberly Cogdell Boies,North Carolina Central University School of Law,100
133,Juscelino F.,Colares,Case Western Res. ,Juscelino Colares,Case Western Reserve University School of Law,92
134,Robin M.,Collin,Willamette ,Robin Collin,Willamette University College of Law,89
135,Lauren M.,Collins,Cleve.-Marshall ,Lauren Collins,Cleveland-Marshall College of Law at Cleveland State University,90
136,Jeffrey M.,Colon,Fordham ,Jeffrey Colon,Fordham University School of Law,90
137,Fernando,Colon-Navarro,Texas Southern ,Fernando Colon-Navarro,Texas Southern University Thurgood Marshall School of Law,100
138,Amanda (Pecchioni),Compton,Charleston ,Amanda Compton,Charleston School of Law,70
139,Jorge,Contesse,Rutgers ,Jorge Contesse,Rutgers Law School,100
140,Celesiina L.,Contreras,Texas A&M ,Celestina Contreras,Texas A&M University School of Law,88
141,Jorge L.,Contreras,Utah ,Jorge Contreras,"University of Utah, S. J. Quinney College of Law",91
142,Frank Rudy,Cooper,Suffolk ,Frank Rudy Cooper,Suffolk University Law School,100
143,Tanya Asim,Cooper,Pepperdine ,Tanya Cooper,Pepperdine University School of Law,83
144,Charlton C.,Copeland,Miami ,Charlton Copeland,University of Miami School of Law,92
145,Roberto L.,Corrada,Denver ,Roberto Corrada,University of Denver Sturm College of Law,91
146,Nathan,Cortez,Southern Methodist ,Nathan Cortez,"Southern Methodist University, Dedman School of Law",100
147,Robert J.,Cottrol,George Washington ,Robert Cottrol,The George Washington University Law School,90
148,William,Covington,Wash. Seattle,William Covington,University of Washington School of Law,100
149,Phyliss C.,Craig-Taylor,North Car. Central ,Phyliss Craig-Taylor,North Carolina Central University School of Law,93
150,Barbara,Creel,New Mexico ,Barbara Creel,University of New Mexico School of Law,100
151,Andrew M.,Crespo,Harvard ,Andrew Crespo,Harvard Law School,90
152,Maria P.,Crist,Dayton ,Maria Crist,University of Dayton School of Law,88
153,Lisa A.,Crooms-Robinson,Howard ,Lisa Crooms-Robinson,Howard University School of Law,93
154,Patience A.,Crowder,Denver ,Patience Crowder,University of Denver Sturm College of Law,91
155,Loyola,Crusto. Mitchell F,New Orl. ,NA,NA,0
156,David B.,Cruz,Southern Cal. ,David Cruz,University of Southern California Gould School of Law,87
157,Gilda,Daniels,Baltimore ,Gilda Daniels,University of Baltimore School of Law,100
158,Okianer Christian,Dark,Howard ,Okianer Christian Dark,Howard University School of Law,100
159,Adrienne D.,Davis,Wash. St. Louis,Adrienne Davis,Washington University in St. Louis School of Law,90
160,Angela J.,Davis,American ,Angela Davis,"American University, Washington College of Law",89
161,Kevin E.,Davis,New York Univ ,Kevin Davis,New York University School of Law,88
162,Peggy Cooper,Davis,New York Univ ,Peggy Davis,New York University School of Law,76
163,Timothy,Davis,Wake Forest ,Timothy Davis,Wake Forest University School of Law,100
164,April Gordon,Dawson,North Car. Central ,April Gordon Dawson,North Carolina Central University School of Law,100
165,Frank E.,Deale,CUNY ,Frank Deale,City University of New York School of Law,88
166,Steven A.,Dean,Brooklyn ,Steven Dean,Brooklyn Law School,88
167,Sarah,Deer,Kansas ,NA,NA,0
168,James M.,Delaney,Wyoming ,James Delaney,University of Wyoming College of Law,90
169,Phillip E.,DeLaTorre,Kansas ,Phillip DeLaTorre,University of Kansas School of Law,92
170,Connie M.V.,de la Vega,San Francisco ,Connie de la Vega,University of San Francisco School of Law,87
171,Richard,Delgado,Alabama ,Richard Delgado,University of Alabama School of Law,100
172,Andrea L.,Dennis,Georgia ,Andrea Dennis,University of Georgia School of Law,90
173,Diane,Desierto,Hawaii ,Diane Desierto,"University of Hawaii, William S. Richardson School of Law",100
174,Dhammika,Dharmapala,Univ. of Chicago ,Dhammika Dharmapala,"The University of Chicago, The Law School",100
175,Raymond T.,Diamond,LSU ,Raymond Diamond,"Louisiana State University, Paul M. Hebert Law Center",91
176,J. Herbie,DiFonzo,Hofstra ,J. Herbie DiFonzo,Maurice A. Deane School of Law at Hofstra University,100
177,Ryan D,Doerfler,Pennsylvania ,Ryan Doerfler,University of Pennsylvania Law School,93
178,Raff,Donelson,LSU ,Raff Donelson,"Louisiana State University, Paul M. Hebert Law Center",100
179,Justin A.,Driver,Univ. of Chicago ,Justin Driver,Yale Law School,90
180,Veena,Dubal,UC Hastings ,Veena Dubal,"University of California, Hastings College of the Law",100
181,Jon C.,Dubin,Rutgers ,Jon Dubin,Rutgers Law School,86
182,Adriana,Duffy-Horling,Santa Clara ,Adriana Duffy-Horling,Santa Clara University School of Law,100
183,Olympia R.,Duhart,Nova Southeastern ,Olympia Duhart,Nova Southeastern University Shepard Broad College of Law,90
184,Ariel E.,Dulitzky,Univ of Texas,Ariel Dulitzky,The University of Texas School of Law,90
185,Meredith J.,Duncan,Houston Law Cntr. ,Meredith Duncan,University of Houston Law Center,91
186,Emeka A.,Duruigbo,Texas Southern ,Emeka Duruigbo,Texas Southern University Thurgood Marshall School of Law,90
187,Rashmi,Dyal-Chand,Northeastern ,Rashmi Dyal-Chand,Northeastern University School of Law,100
188,Maurice R.,Dyson,Thomas Jefferson ,NA,NA,0
189,Angelique W,EagleWoman,Mitchell Hamline ,Angelique EagleWoman,Mitchell Hamline School of Law,95
190,Allen K.,Easley,Western state ,Allen Easley,Western State College of Law at Westcliff University,89
191,Tabrez,Ebrahim,Cal. Western ,Tabrez Ebrahim,California Western School of Law,100
192,George E.,Edwards,Ind. McKinney,George Edwards,Indiana University Robert H. McKinney School of Law,90
193,Malik,Edwards,North Car. Central ,Malik Edwards,North Carolina Central University School of Law,100
194,Pamela,Edwards,CUNY ,Pamela Edwards,City University of New York School of Law,100
195,Monika U.,Ehrman,Univ. of Oklahoma ,Monika Ehrman,University of Oklahoma College of Law,90
196,Einer R.,Elhauge,Harvard ,Einer Elhauge,Harvard Law School,90
197,Atiba R.,Ellis,Marquette ,Atiba Ellis,Marquette University Law School,88
198,Lia,Epperson,American ,Lia Epperson,"American University, Washington College of Law",100
199,JoAnne A.,Epps,Temple ,JoAnne Epps,"Temple University, James E. Beasley School of Law",88
200,Sheldon A.,Evans,St John’s ,Sheldon Evans,St. John's University School of Law,90
201,Tonya M.,Evans,New Hampshire ,Tonya Evans,University of New Hampshire School of Law,88
202,Uche,Ewelukwa,Ark. Fayetteville,Uche Ewelukwa,"University of Arkansas, Fayetteville, Robert A. Leflar Law Center",100
203,Bryan Keith,Fair,Alabama ,Bryan Fair,University of Alabama School of Law,77
204,Edward A.,Fallone,Marquette ,Edward Fallone,Marquette University Law School,90
205,Jennifer,Fan,Wash. Seattle,Jennifer Fan,University of Washington School of Law,100
206,Mary D.,Fan,Wash.. Seattle ,Mary Fan,University of Washington School of Law,84
207,Anthony Paul,Farley,Albany ,Anthony Farley,Albany Law School,85
208,Vicenc,Feliu,Nova Southeastern ,NA,NA,0
209,Patty,Ferguson-Bohnee,Ariz. state ,Patty Ferguson-Bohnee,Arizona State University Sandra Day O'Connor College of Law,100
210,Laura,Fernandez,Ohio state ,Laura Fernandez,"The Ohio State University, Michael E. Moritz College of Law",100
211,Ramona G,Fernandez,Loyola. New Orl. ,Ramona Fernandez,Loyola University New Orleans College of Law,94
212,Matthew L.M.,Fletcher,Mich. state ,Matthew Fletcher,Michigan State University College of Law,86
213,M. Anthony,Flores,WMU-Cooley ,M. Anthony Flores,Western Michigan University Thomas M. Cooley Law School,100
214,Robert L.,Flores,Utah ,Robert Flores,"University of Utah, S. J. Quinney College of Law",90
215,Rodney O.,Fong,John Marshall ,Rodney Fong,UIC John Marshall Law School,88
216,Jessica,Fonseca-Nader,St. Thomas ,Jessica Fonseca-Nader,St. Thomas University School of Law,100
217,Richard T.,Ford,Stanford ,Richard Ford,Stanford Law School,89
218,Kim,Forde-Mazrui,Univ. of Va. ,Kim Forde-Mazrui,University of Virginia School of Law,100
219,James Jr.,Forman,Yale ,James Forman,Yale Law School,86
220,Susan S.,Fortney,Texas A&M ,Susan Fortney,Texas A&M University School of Law,90
221,Demetria D.,Frank,Memphis ,Demetria Frank,"The University of Memphis, Cecil C. Humphreys School of Law",90
222,Bernard K.,Freamon,Seton Hall ,Bernard Freamon,Seton Hall University School of Law,91
223,Angelique,Fridman,Florida Int'l ,Angelique Fridman,Florida International University College of Law,100
224,Erin C.,Fuse Brown,Georgia State ,Erin Fuse Brown,Georgia State University College of Law,91
225,Theresa A.,Gabaldon,George Washington ,Theresa Gabaldon,The George Washington University Law School,91
226,Jose M.,Gabilondo,Florida Int'l ,Jose Gabilondo,Florida International University College of Law,90
227,Raquel,Gabriel,CUNY ,Raquel Gabriel,City University of New York School of Law,100
228,K. W.,Gaines,South Carolina ,K. Gaines,University of South Carolina School of Law,86
229,Alfredo,Garcia,St. Thomas ,Alfredo Garcia,St. Thomas University School of Law,100
230,Kristelia,Garcia,Colorado ,Kristelia Garcia,University of Colorado Law School,100
231,Ruben J.,Garcia,Nevada Las Vegas,Ruben Garcia,"University of Nevada, Las Vegas, William S. Boyd School of Law",89
232,Antonio R.,Garcia-Padilla,Puerto Rico ,Antonio Garcia-Padilla,University of Puerto Rico School of Law,94
233,Emily S.,Garcia Uhrig,McGeorge ,Emily Garcia Uhrig,"University of the Pacific, McGeorge School of Law",92
234,Trevor,Gardner,Wash. Seattle,Trevor Gardner,Washington University in St. Louis School of Law,100
235,Nira,Geevargis,San Francisco ,Nira Geevargis,University of San Francisco School of Law,100
236,Rafael,Gely,Missouri ,Rafael Gely,University of Missouri School of Law,100
237,Erika,George,Utah ,Erika George,"University of Utah, S. J. Quinney College of Law",100
238,Jeannie Suk,Gersen,Harvard ,Jeannie Gersen,Harvard Law School,88
239,Ahmed,Ghappour,Boston Univ. ,Ahmed Ghappour,Boston University School of Law,100
240,Llewellyn J.,Gibbons,Toledo ,Llewellyn Gibbons,University of Toledo College of Law,92
241,Brenda D.,Gibson,North Car. Central ,Brenda Gibson,North Carolina Central University School of Law,90
242,Angela,Gilmore,North Car. Central ,Angela Gilmore,North Carolina Central University School of Law,100
243,Ronnie R. Jr.,Gipson,LaVerne ,Ronnie Gipson,University of La Verne College of Law,79
244,Jonathan D.,Glater,Cal. Irvine,Jonathan Glater,"University of California, Irvine School of Law",91
245,Pamela S.,Glean,North Car. Central ,Pamela Glean,North Carolina Central University School of Law,89
246,Miriam,Gohara,Yale ,Miriam Gohara,Yale Law School,100
247,Laura E.,Gomez,U.C.L.A. ,Laura Gomez,"University of California, Los Angeles School of Law",88
248,Manuel A,Gomez,Florida Int'l ,Juan Gomez,Florida International University College of Law,67
249,Tomas,Gomez-Arostegui,Lewis & Clark ,Tomas Gomez-Arostegui,Lewis and Clark Law School,100
250,Natalie M.,Gomez-Velez,CUNY ,Natalie Gomez-Velez,City University of New York School of Law,93
251,Mariana H.C.,Gonstead,St. Thomas-Mpls. ,Mariana Gonstead,University of St. Thomas School of Law,86
252,Jasmine B.,Gonzales Rose,Pittsburgh ,Jasmine Gonzales Rose,University of Pittsburgh School of Law,93
253,Carmen G,Gonzalez,Seattle ,Carmen Gonzalez,University of Houston Law Center,94
254,Carmen G.,Gonzalez,Houston Law Cntr. ,Carmen Gonzalez,University of Houston Law Center,91
255,Marc-Tizoc,Gonzalez,St. Thomas ,Marc-Tizoc Gonzalez,St. Thomas University School of Law,100
256,Victor M.,Goode,CUNY ,Victor Goode,City University of New York School of Law,89
257,Christine Chambers,Goodman,Pepperdine ,Christine Goodman,Pepperdine University School of Law,79
