Person,ID,School,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,Type
Michele Goodwin,4861,"University of Minnesota, Twin Cities",1.0,420.0,1394.0,329.0,47.0,0.0,10.24,7.64,0.0,
Kaaryn Gustafson,3885,University of Connecticut,0.0,82.0,270.0,79.0,9.0,0.0,20.5,16.4,0.0,
Emily Hammond,3456,Wake Forest University,0.0,126.0,285.0,125.0,33.0,0.0,10.5,6.3,0.0,
Bernard E. Harcourt,9094,University of Chicago,4.0,852.0,2167.0,530.0,65.0,0.0,31.56,25.06,0.0,
Michael Hatfield,9734,Texas Tech University,1.0,52.0,67.0,36.0,3.0,0.0,4.73,4.33,0.0,
Christine Hurt,8773,University of Illinois,1.0,280.0,453.0,198.0,16.0,0.0,14.74,13.33,0.0,
Darian M. Ibrahim,9939,"University of Wisconsin, Madison",6.0,303.0,945.0,274.0,47.0,0.0,15.15,15.15,0.0,
Charles C. Jalloh,681,University of Pittsburgh,0.0,84.0,587.0,80.0,11.0,0.0,6.46,3.36,12.0,
M. Cathleen Kaveny,7620,University of Notre Dame,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Kull,8987,Boston University,32.0,513.0,472.0,209.0,4.0,0.0,21.38,14.66,0.0,
Amy L. Landers,4875,"University of the Pacific, McGeorge School of Law",2.0,151.0,111.0,121.0,14.0,0.0,20.62,15.55,0.0,
Jacqueline Lipton,2118,University of Houston,0.0,174.0,308.0,69.0,4.0,0.0,11.6,9.67,0.0,
Robert MacCoun,8979,"University of California, Berkeley",1.0,258.0,234.0,112.0,11.0,0.0,23.45,21.5,0.0,
Patricia A. McCoy,2384,University of Connecticut,15.0,694.0,462.0,471.0,28.0,0.0,33.05,28.92,0.0,
Edward R. Morrison,1863,University of Chicago,5.0,367.0,352.0,302.0,30.0,0.0,24.47,21.59,0.0,
Xuan-Thao Nguyen,8686,Southern Methodist University,2.0,177.0,516.0,169.0,15.0,0.0,6.32,5.36,0.0,
Saule T. Omarova,5382,"University of North Carolina, Chapel Hill",0.0,418.0,640.0,417.0,79.0,0.0,23.22,16.72,0.0,
Wendell Pritchett,3697,"Rutgers University, Camden",0.0,2.0,43.0,2.0,2.0,0.0,0.4,0.29,0.0,
Intisar Rabb,8644,New York University,0.0,34.0,132.0,33.0,3.0,0.0,8.4,7.07,4.0,
Robert Rhee,1524,University of Maryland,10.0,407.0,794.0,350.0,42.0,0.0,23.0,20.79,0.0,
L. Song Richardson,9747,University of Iowa,3.0,417.0,1305.0,416.0,102.0,0.0,27.8,21.95,0.0,
Kalyani Robbins,972,University of Akron,0.0,97.0,196.0,68.0,5.0,0.0,8.08,6.06,6.0,
Troy A. Rule,1663,University of Missouri,0.0,173.0,279.0,165.0,26.0,0.0,17.3,13.31,0.0,
Gregory Shaffer,7154,"University of Minnesota, Twin Cities",0.0,529.0,1250.0,424.0,71.0,0.0,13.56,9.8,0.0,
David A. Sklansky,9155,"University of California, Berkeley",46.0,1466.0,1149.0,972.0,133.0,0.0,52.36,43.12,0.0,
A. Benjamin Spencer,9686,Washington & Lee University,20.0,762.0,250.0,729.0,61.0,0.0,38.1,36.29,23.0,
Paul J. Stancil,3417,University of Illinois,0.0,104.0,125.0,99.0,15.0,0.0,11.56,11.56,0.0,
Adam N. Steinman,7683,Seton Hall University,15.0,513.0,633.0,462.0,65.0,0.0,23.32,18.32,0.0,
Kristen A. Stilt,1385,Northwestern University,0.0,72.0,109.0,41.0,0.0,0.0,22.27,22.27,0.0,
David M. Studdert,5840,University of Melbourne,1.0,255.0,221.0,123.0,10.0,0.0,12.75,11.09,0.0,
Eric L. Talley,6964,"University of California, Berkeley",8.0,934.0,414.0,421.0,43.0,0.0,67.34,53.52,0.0,
Christopher Tomlins,2329,"University of California, Irvine",0.0,137.0,347.0,88.0,13.0,0.0,6.23,2.11,0.0,
Gerald Torres,5946,"University of Texas, Austin",2.0,729.0,554.0,220.0,28.0,0.0,23.52,15.85,0.0,
Deborah Tuerkheimer,6165,DePaul University,26.0,393.0,1020.0,333.0,49.0,0.0,17.86,14.56,0.0,
Kenneth Ayotte,4263,Northwestern University,1.0,235.0,344.0,212.0,31.0,0.0,21.36,19.58,0.0,
Teri Dobbins Baxter,852,Saint Louis University,0.0,66.0,149.0,53.0,10.0,0.0,6.6,6.6,0.0,
Andrea K. Bjorklund,8972,"University of California, Davis",3.0,167.0,406.0,111.0,12.0,0.0,11.93,8.79,0.0,
Karen C. Burke,4979,University of San Diego,4.0,296.0,185.0,149.0,20.0,0.0,10.57,8.71,0.0,
Lan Cao,5159,College of William and Mary,3.0,248.0,223.0,71.0,2.0,0.0,15.5,12.4,0.0,
June Carbone,2160,"University of Missouri, Kansas City",24.0,1072.0,1065.0,570.0,79.0,0.0,18.17,14.11,0.0,
Paul L. Caron,2664,University of Cincinnati,4.0,525.0,742.0,259.0,25.0,0.0,22.83,18.75,0.0,
Jim Chen,1126,University of Louisville,6.0,1472.0,613.0,361.0,22.0,0.0,27.26,17.95,0.0,
Eric A. Chiappinelli,6750,Creighton Universitiy,4.0,62.0,92.0,24.0,4.0,0.0,5.17,3.65,0.0,
Luis Chiesa,4098,Pace University,1.0,66.0,359.0,65.0,13.0,0.0,4.12,3.3,6.0,
Christine N. Cimini,1640,University of Denver Sturm College of Law,1.0,89.0,71.0,54.0,7.0,0.0,12.71,9.89,0.0,
Evan J. Criddle,3878,Syracuse University,9.0,518.0,625.0,484.0,47.0,0.0,25.9,22.52,0.0,
Jason J. Czarnezki,2226,Vermont Law School,23.0,286.0,448.0,229.0,26.0,0.0,13.62,11.0,20.0,
Steven M. Davidoff,9500,Ohio State University,16.0,418.0,617.0,395.0,29.0,0.0,25.89,24.68,0.0,
