,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short,ID
74,Blake,Hudson,NA,Louisiana State University,http://lsu.edu,lsu.edu,University of Houston,www.uh.edu/,uh.edu,2928
75,Lolita Buckner,Inniss,NA,Cleveland-Marshall College of Law,https://www.law.csuohio.edu/,law.csuohio.edu,Southern Methodist University,http://smu.edu,smu.edu,7289
76,Orin,Kerr,NA,George Washington University,https://www.gwu.edu/,gwu.edu,University of Southern California,http://usc.edu,usc.edu,5437
77,Kurt,Lash,NA,University of Illinois,http://illinois.edu,illinois.edu,University of Richmond,http://richmond.edu,richmond.edu,6047
78,Yoon-Ho Alex,Lee,NA,University of Southern California,http://usc.edu,usc.edu,Northwestern University,http://northwestern.edu,northwestern.edu,8416
79,Dayna,Matthew,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,University of Virginia,http://virginia.edu,virginia.edu,5016
80,Pamela,Metzger,NA,Tulane University,http://tulane.edu,tulane.edu,Southern Methodist University,http://smu.edu,smu.edu,3369
81,Paul,Miller,NA,McGill University,https://www.mcgill.ca/,mcgill.ca,University of Notre Dame,http://nd.edu,nd.edu,1208
82,Nicholas A.,Mirkay,NA,Creighton University,http://creighton.edu,creighton.edu,University of Hawaii,https://www.hawaii.edu/,hawaii.edu,8561
83,Samuel,Moyn,NA,Harvard University,http://harvard.edu,harvard.edu,Yale University,http://yale.edu,yale.edu,3888
84,Alexandra,Natapoff,NA,"Loyola Law School, Los Angeles",https://www.lls.edu/,lls.edu,"University of California, Irvine",http://uci.edu,uci.edu,7264
85,Douglas,NeJaime,NA,"University of California, Los Angeles",http://ucla.edu,ucla.edu,Yale University,http://yale.edu,yale.edu,113
86,Shu-Yi,Oei,NA,Tulane University,http://tulane.edu,tulane.edu,Boston College,http://bc.edu,bc.edu,5142
87,Ruth,Okediji,NA,University of Minnesota,http://umn.edu,umn.edu,Harvard University,http://harvard.edu,harvard.edu,5702
88,David,Orentlicher,NA,"Indiana University, Indianapolis",https://www.iupui.edu/,iupui.edu,"University of Nevada, Las Vegas",http://unlv.edu,unlv.edu,2257
89,Frank,Partnoy,NA,University of San Diego,http://sandiego.edu,sandiego.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,9578
90,Alice,Ristroph,NA,Seton Hall University,http://shu.edu,shu.edu,Brooklyn Law School,http://northwestern.edu,northwestern.edu,0
91,Victoria,Sahani,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,Arizona State University,http://asu.edu,asu.edu,7569
92,Michael,Simkovic,NA,Seton Hall University,http://shu.edu,shu.edu,University of Southern California,http://usc.edu,usc.edu,5433
93,Brad,Snyder,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Georgetown University,http://georgetown.edu,georgetown.edu,1895
94,Kim,Talus,NA,Universities of Helsinki & Eastern Finland,www.uef.fi/en/etusivu,uef.fi/en/etusivu.edu,Tulane University,http://tulane.edu,tulane.edu,5024
95,Franita,Tolson,NA,Florida State University,http://fsu.edu,fsu.edu,University of Southern California,http://usc.edu,usc.edu,4685
96,Rebecca,Tushnet,NA,Georgetown University,http://georgetown.edu,georgetown.edu,Harvard University,http://harvard.edu,harvard.edu,6593
97,Ryan,Vacca,NA,University of Akron,https://www.uakron.edu/,uakron.edu,University of New Hampshire,http://unh.edu,unh.edu,9182
98,Urska,Velikonja,NA,Emory University,http://emory.edu,emory.edu,Georgetown University,http://georgetown.edu,georgetown.edu,7158
99,Rose Cuison,Villazor,NA,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,Rutgers University,http://rutgers.edu,rutgers.edu,3594
100,Nancy,Welsh,NA,Pennsylvania State University Dickinson School of Law (Carlysle),https://dickinsonlaw.psu.edu/,dickinsonlaw.psu.edu,Texas A&M University,http://tamu.edu,tamu.edu,4806
101,Del,Wright,NA,Valparaiso University,http://valpo.edu,valpo.edu,"University of Missouri, Kansas City",http://umkc.edu,umkc.edu,562
102,Edward,Afield,NA,Ava Maria School of Law,https://www.avemarialaw.edu/,avemarialaw.edu,Georgia State University,http://gsu.edu,gsu.edu,3677
103,Lisa,Alexander,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Texas A&M University,http://tamu.edu,tamu.edu,8298
104,RonNell Andersen,Jones,NA,Brigham Young University,http://byu.edu,byu.edu,University of Utah,http://utah.edu,utah.edu,94
105,Margo,Bagley,NA,University of Virginia,http://virginia.edu,virginia.edu,Emory University,http://emory.edu,emory.edu,1458
106,Dale,Carpenter,NA,University of Minnesota,http://umn.edu,umn.edu,Southern Methodist University,http://smu.edu,smu.edu,3892
107,David,Fagundes,NA,Southwestern Law School,https://www.swlaw.edu/,swlaw.edu,University of Houston,www.uh.edu/,uh.edu,3269
108,Joshua,Fischman,NA,Northwestern University,http://northwestern.edu,northwestern.edu,University of Virginia,http://virginia.edu,virginia.edu,524
109,Michael,Frakes,NA,Northwestern University,http://northwestern.edu,northwestern.edu,Duke University,http://duke.edu,duke.edu,3073
110,Susan,Franck,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,American University,http://american.edu,american.edu,2291
111,Shubha,Ghosh,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Syracuse University,http://syr.edu,syr.edu,900
112,James,Grimmelman,NA,University of Maryland,http://umaryland.edu,umaryland.edu,Cornell University,http://cornell.edu,cornell.edu,699
113,Joanna,Grossman,NA,Hofstra University,http://hofstra.edu,hofstra.edu,Southern Methodist University,http://smu.edu,smu.edu,8668
114,Grant,Hayden,NA,Hofstra University,http://hofstra.edu,hofstra.edu,Southern Methodist University,http://smu.edu,smu.edu,8243
115,Andrew,Hessick,NA,University of Utah,http://utah.edu,utah.edu,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,4921
116,Carissa Byrne,Hessick,NA,University of Utah,http://utah.edu,utah.edu,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,2653
117,David,Hyman,NA,University of Illinois,http://illinois.edu,illinois.edu,Georgetown University,http://georgetown.edu,georgetown.edu,6716
118,Janine,Kim,NA,Marquette University,http://marquette.edu,marquette.edu,Chapman University,http://chapman.edu,chapman.edu,6353
119,Renee,Knake,NA,Michigan State University,http://msu.edu,msu.edu,University of Houston,www.uh.edu/,uh.edu,2914
120,Sarah,Lawsky,NA,"University of California, Irvine",http://uci.edu,uci.edu,Northwestern University,http://northwestern.edu,northwestern.edu,982
121,Andrew,Lund,NA,Pace University,http://pace.edu,pace.edu,Villanova University,http://villanova.edu,villanova.edu,1140
122,Fatma,Marouf,NA,"University of Nevada, Las Vegas",http://unlv.edu,unlv.edu,Texas A&M University,http://tamu.edu,tamu.edu,3962
123,Thomas,Mitchell,NA,"University of Wisconsin, Madison",https://www.wisc.edu/,wisc.edu,Texas A&M University,http://tamu.edu,tamu.edu,2582
124,Angela,Onwuachi-Willig,NA,University of Iowa,https://uiowa.edu/,uiowa.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,9216
125,Jordan,Paradise,NA,Seton Hall University,http://shu.edu,shu.edu,"Loyola University, Chicago",http://luc.edu,luc.edu,2085
126,Gregg,Polsky,NA,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,University of Georgia,http://uga.edu,uga.edu,1948
127,Edward B.,Rock,NA,University of Pennsylvania,http://upenn.edu,upenn.edu,New York University,http://nyu.edu,nyu.edu,1446
128,Amy,Schmitz,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,"University of Missouri, Columbia",https://missouri.edu/,missouri.edu,1320
129,Beth,Simmons,NA,Harvard University,http://harvard.edu,harvard.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,6523
130,Alex,Stein,NA,Cardozo Law School,https://cardozo.yu.edu/,cardozo.yu.edu,Brooklyn Law School,http://northwestern.edu,northwestern.edu,3538
131,Elizabeth,Trujillo,NA,Suffolk University,http://suffolk.edu,suffolk.edu,Texas A&M University,http://tamu.edu,tamu.edu,8220
132,Steve,Vladeck,NA,American University,http://american.edu,american.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,4898
133,Gina,Warren,NA,Texas A&M University,http://tamu.edu,tamu.edu,University of Houston,www.uh.edu/,uh.edu,2848
134,Melissa,Wasserman,NA,University of Illinois,http://illinois.edu,illinois.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,3160
135,Ellen,Yaroshefsky,NA,Cardozo Law School,https://cardozo.yu.edu/,cardozo.yu.edu,Hofstra University,http://hofstra.edu,hofstra.edu,1213
136,Owen,Anderson,NA,"University of Oklahoma, Norman",www.ou.edu/,ou.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu,2546
137,Ann,Bartow,NA,Pace University,http://pace.edu,pace.edu,University of New Hampshire,http://unh.edu,unh.edu,4247
138,Thomas,Brennan,NA,Northwestern University,http://northwestern.edu,northwestern.edu,Harvard University,http://harvard.edu,harvard.edu,8219
139,Aaron,Bruhl,NA,University of Houston,www.uh.edu/,uh.edu,College of William & Mary,https://wm.edu/,wm.edu,4416
140,Christopher,Buccafusco,NA,Chicago-Kent College of Law,www.uh.edu/,uh.edu,Cardozo Law School,https://cardozo.yu.edu/,cardozo.yu.edu,4349
141,Irene,Calboli,NA,Marquette University,http://marquette.edu,marquette.edu,Texas A&M University,http://tamu.edu,tamu.edu,4373
142,William,Dodge,NA,"University of California, Hastings",https://www.uchastings.edu/,uchastings.edu,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,7272
143,Susan,Fortney,NA,Hofstra University,http://hofstra.edu,hofstra.edu,Texas A&M University,http://tamu.edu,tamu.edu,3062
144,Brian,Galle,NA,Boston College,http://bc.edu,bc.edu,Georgetown University,http://georgetown.edu,georgetown.edu,6025
145,Nuno,Garoupa,NA,University of Illinois,http://illinois.edu,illinois.edu,Texas A&M University,http://tamu.edu,tamu.edu,2171
146,C. Scott,Hemphill,NA,Columbia University,http://columbia.edu,columbia.edu,New York University,http://nyu.edu,nyu.edu,2371
147,Robert,Jerry,NA,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu,"University of Missouri, Columbia",https://missouri.edu/,missouri.edu,5404
148,Sonia,Katyal,NA,Fordham University,http://fordham.edu,fordham.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,3448
149,Daniel,Katz,NA,Michigan State University,http://msu.edu,msu.edu,Chicago-Kent College of Law,www.uh.edu/,uh.edu,7119
150,Charlotte,Ku,NA,University of Illinois,http://illinois.edu,illinois.edu,Texas A&M University,http://tamu.edu,tamu.edu,1605
151,Erik,Luna,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,Arizona State University,http://asu.edu,asu.edu,43
