Unnamed: 0,Person,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,ID
,Denitsa R. Mavrova Heinrich,Barry,number,0,1,39,1,1,0,1,1,0,247646
,William (I) Clayton,BYU,number,0,2,25,2,1,0,2,2,0,331135
,Gladriel Shobe,BYU,number,0,9,151,9,9,0,2.25,2.25,0,454544
,Jarrod Shobe,BYU,number,0,44,171,44,16,0,8.8,8.8,0,652281
,Stephanie Plamondon Bair,BYU,number,0,34,258,33,9,0,4.86,4.86,0,854238
,Clark D. Asay,BYU,number,0,103,375,103,29,0,7.36,6.87,0,125011
,Hannah Brenner,Cal Western,number,0,28,228,28,6,0,3.11,3.11,0,184450
,Erin Sheley,Calgary,number,3,29,386,29,6,0,3.62,3.22,0,207960
,Vera Korzun,Akron,number,0,10,171,10,5,0,2.5,2.5,0,6298
,Camilla Hrdy,Akron,number,0,59,129,59,17,0,6.56,5.36,0,5811
,Elizabeth Knowles,Akron,number,0,0,22,0,0,0,0,0,0,9429
,Benjamin J. McMichael,Alabama,number,0,3,31,3,2,0,0.6,0.5,0,570
,Deepa Das Acevedo,Alabama,number,0,22,455,22,16,0,2.44,2.44,0,9614
,Meghan M. Boone,Alabama,number,0,8,163,8,6,0,1.6,1.6,0,9149
,Casey E. Faucon,Alabama,number,0,20,213,20,2,0,5,3.33,0,3632
,Yonathan A. Arbel,Alabama,number,0,8,170,8,6,0,2.67,2.67,0,7083
,Courtney Cross,Alabama,number,0,1,68,1,1,0,0.33,0.33,0,7364
,Allyson E. Gold,Alabama,number,0,2,117,2,1,0,0.67,0.67,0,6447
,Stephen Rushin,Alabama,number,2,220,800,218,72,0,12.94,10.48,0,2557
,Jessica Eisen,Alberta,number,0,3,245,3,2,0,0.5,0.5,0,5713
,Rebecca J. Hamilton,American (Wash Coll of Law),number,0,26,347,21,2,0,5.2,3.25,0,7572
,Anita Sinha,American (Wash Coll of Law),number,0,43,279,29,8,0,10.75,7.17,0,3937
,Tammi Walker,Arizona,number,0,1,63,1,1,0,1,0.5,0,9456
,Jason Kreag,Arizona,number,3,43,130,43,19,0,8.6,7.17,0,659
,Sergio Puig,Arizona,number,0,125,756,125,61,0,5.95,4.46,0,3199
,Justin Weinstein-Tull,Arizona State,number,2,26,132,26,12,0,8.67,5.2,0,665
,Trevor Reed,Arizona State,number,0,0,9,0,0,0,0,0,0,9359
,Bijal Shah,Arizona State,number,0,47,184,47,13,0,7.83,6.71,4,367
,Laura Napoli Coordes,Arizona State,number,0,20,138,20,11,0,2.86,2.86,1,1616
,Erin Adele Scharff,Arizona State,number,0,34,146,34,15,0,8.5,6.8,3,1324
,Kaiponanea T. Matsumura,Arizona State,number,2,60,98,58,19,0,15,6.67,0,1418
,Beth K. Zilberman,Arkansas,number,0,0,16,0,0,0,0,0,0,1142
,Alan M. Trammell,Arkansas-Fayetteville,number,3,72,119,68,12,0,9.14,17.14,0,3735
,Jordan B. Woods,Arkansas-Fayetteville,number,0,81,758,79,25,0,8.27,6.71,0,5960
,Sara Gosman,Arkansas-Fayetteville,number,0,3,36,3,0,0,1.5,1.5,0,707
,Natalie Ram,Baltimore,number,6,74,244,73,20,0,9.25,8.22,0,5195
,Nadia B. Ahmad,Barry,number,0,11,128,10,4,0,1.33,1.33,0,2974
,Nancy Cantalupo,Barry,number,0,136,498,134,26,0,14.78,16.3,0,6719
,Benjamin Edwards,Barry,number,0,0,0,0,0,0,0,0,0,3435
,Denitsa R. Mavrova Heinrich,Barry,number,0,1,34,1,1,0,1,1,0,6326
,Michael Morley,Barry,number,4,195,340,138,42,0,9.29,6.5,0,9533
,Abbye Atkinson,Berkeley,number,0,20,66,20,1,0,6.67,6.67,0,1506
,Joy Milligan,Berkeley,number,0,48,129,42,11,0,12,9.6,0,4887
,Tejas N. Narechania,Berkeley,number,0,46,97,46,15,0,5.75,4.6,0,445
,Catherine Crump,Berkeley,number,1,24,58,16,6,0,24,12,0,2418
,Hiba Hafiz,Boston College,number,0,3,93,3,3,0,1,1,0,6043
,Daniel Farbman,Boston College,number,0,2,21,2,1,0,2,2,0,8987
,Jeffrey M. Cohen,Boston College,number,0,9,11,6,1,0,7.5,4,0,5608
,M. Ryan Williams,Boston College,number,2,242,410,237,38,0,29.85,39.18,0,3476
,Natalya Shnitser,Boston College,number,0,32,57,32,4,0,8,6.4,0,7580
,Scott Hirst,Boston University,number,0,67,174,67,25,0,11.17,11.17,0,3675
,Ahmed Ghappour,Boston University,number,1,17,382,17,8,0,8.5,5.67,1,474
,Rory Van Loo,Boston University,number,0,74,746,74,44,0,9.25,8.22,8,9011
,Rebecca Ingber,Boston University,number,0,67,218,67,19,0,8.38,7.44,10,2657
,Julian Arato,Brooklyn,number,0,58,323,57,13,0,7.25,6.44,0,2584
,K. Sabeel Rahman,Brooklyn,number,0,53,621,53,34,0,7.57,3.79,0,396
,Jocelyn Simonson,Brooklyn,number,4,169,491,168,70,0,21.12,16.9,0,7350
,Nicole Hallett,Buffalo,number,0,4,83,4,2,0,1,0.8,0,2849
,Jonathan Manes,Buffalo,number,1,5,95,5,2,0,1.67,1.67,1,9450
,Stephanie H. Barclay,BYU,number,1,27,283,27,4,0,6.75,4.5,0,9905
,William (I) Clayton,BYU,number,0,2,25,2,1,0,2,2,0,2664
,Gladriel Shobe,BYU,number,0,9,151,9,9,0,2.25,2.25,0,5891
,Jarrod Shobe,BYU,number,0,44,171,44,16,0,8.8,8.8,0,120
,Stephanie Plamondon Bair,BYU,number,0,34,258,33,9,0,4.86,4.86,0,6491
,Clark D. Asay,BYU,number,0,103,375,103,29,0,7.36,6.87,0,4257
,Hannah Brenner,Cal Western,number,0,28,228,28,6,0,3.11,3.11,0,4300
,Erin Sheley,Calgary,number,3,29,386,29,6,0,3.62,3.22,0,8801
,Greg Reilly,California Western,number,1,112,185,112,51,0,9.33,8.62,0,5678
,Shawn E. Fields,Campbell,number,0,19,305,15,13,0,2.71,2.38,0,3185
,Jocelyn Getgen Kestenbaum,Cardozo,number,0,27,224,27,4,0,6.75,3.86,0,4404
,Michael C. Pollack,Cardozo,number,3,31,163,18,6,0,7.75,3.88,0,6459
,Samuel N. Weinstein,Cardozo,number,0,22,45,7,5,0,7.33,4.4,0,6390
,Claudia Flores,Chicago,number,0,4,82,2,1,0,2,2,0,5003
,Daniel J. Hemel,Chicago,number,1,215,702,213,87,0,21.67,14.58,0,5336
,Genevieve Lakier,Chicago,number,0,77,193,77,25,0,15.4,11,0,9382
,John Rappaport,Chicago,number,2,69,129,69,26,0,11.5,11.5,0,7746
,Adam S. Chilton,Chicago,number,0,121,724,114,58,0,4.32,3.78,0,9228
,William Partlett,Chinese U of Hong Kong,number,0,25,148,25,1,0,2.78,2.78,0,1244
,Rehan Aindri Abeyratne,Chinese University of Hong Kong,number,0,10,250,10,2,0,1.43,1.25,0,9632
,Craig J. Konnoth,Colorado,number,0,31,124,31,10,0,22.2,11.83,0,3537
,Benjamin N. Levin,Colorado,number,3,108,340,85,27,0,17.52,11.58,0,6030
,Scott Skinner-Thompson,Colorado,number,0,47,369,47,24,0,9.4,6.71,0,247
,Sloan G. Speck,Colorado,number,2,58,53,54,11,0,29,19.33,0,8637
,Kristelia A. Garcia,Colorado,number,0,20,106,20,6,0,5,5,2,4393
,Sharon (I) Jacobs,Colorado,number,0,73,155,73,16,0,9.12,9.12,5,7632
,Maeve Herbert Glass,Columbia,number,0,0,114,0,0,0,0,0,0,2517
,Kellen Funk,Columbia,number,0,6,1,6,2,0,2,1.2,0,4146
,Joshua R. Mitts,Columbia,number,3,75,387,57,24,0,9.38,8.33,0,8092
,Kristen Underhill,Columbia,number,1,18,195,18,4,0,3.6,3,0,8166
,Jeremy K. Kessler,Columbia,number,2,91,221,91,46,0,18.2,13,0,8834
,Ryan Stoa,Concordia,number,0,22,393,22,4,0,2.2,2.2,0,2398
,Jessica Berch,Concordia,number,0,16,75,16,6,0,3.2,2.67,0,3842
,Jamelia N. Morgan,Connecticut,number,0,1,122,1,1,0,0.33,0.33,0,3180
,Kiel Brennan-Marquez,Connecticut,number,1,72,432,72,39,0,4.5,3.79,0,6636
,Jeremy R. McClane,Connecticut,number,0,12,106,12,5,0,4.33,4.33,0,2065
,Rachel Goldberg,Cornell,number,0,0,10,0,0,0,0,0,0,4041
,Maggie Gardner,Cornell,number,2,37,237,37,14,0,5.29,4.11,0,390
,Zachary D. Clopton,Cornell,number,7,140,524,129,54,0,7,6.36,0,4312
,Elizabeth Brundige,Cornell,number,0,2,85,2,0,0,0.67,0.5,0,7438
,Charisa Smith,CUNY,number,1,9,111,9,3,0,1.8,1.8,0,5927
,Menesh S. Patel,Davis,number,0,1,32,1,1,0,1,1,0,7789
,Shayak Sarkar,Davis,number,0,2,75,2,2,0,1,0.33,0,9689
,Shiri Krebs,Deakin,number,0,4,136,4,2,0,1,1,0,7322
,Govind C. Persad,Denver,number,0,27,134,27,10,0,11,6.14,0,2680
,Wyatt G. Sassman,Denver,number,0,7,47,7,3,0,5,2.33,0,9271
,Erin R. Archerd,Detroit Mercy,number,0,12,68,10,1,0,7.5,4.5,0,4889
,Hannah C. Bloch-Wehba,Drexel,number,0,7,80,7,4,0,1.75,1.75,0,2136
,Ben K. Grunwald,Duke,number,1,13,184,13,6,0,2.17,1.62,0,2681
,Ofer Eldar,Duke,number,0,14,93,13,3,0,3.5,3.5,0,2411
,Taisu Zhang,Duke,number,0,35,184,34,9,0,4.38,3.89,0,7940
,Richard L. Jr. Heppner,Duquesne,number,0,6,16,6,1,0,3,3,0,5715
,Pablo Echeverri,Duquesne,number,0,1,5,1,1,0,1,1,0,2278
,George S. Georgiev,Emory,number,0,12,77,12,7,0,3,3,0,2339
,Kamina A. Pinder,Emory,number,0,49,69,41,2,0,13.58,13.58,0,5563
,Merritt McAlister,Florida,number,2,3,12,3,0,0,3,1.5,0,6461
,Stephanie Bornstein,Florida,number,0,185,517,162,33,0,16.82,15.42,0,2360
,Sarah L. Swan,Florida State,number,0,47,287,47,22,0,5.88,5.88,0,7997
,Lauren Henry Scholz,Florida State,number,0,11,182,11,7,0,3.67,2.75,0,8742
,Avlana K. Eisenberg,Florida State,number,0,56,181,56,20,0,14,14,0,2078
,Justin Sevier,Florida State,number,1,46,261,46,13,0,4.6,4.6,0,158
,Janet Freilich,Fordham,number,0,36,119,36,5,0,7.2,6,0,9843
,Robert Leider,George Mason,number,2,15,42,15,1,0,5,5,0,2461
,Caroline Cecot,George Mason,number,0,30,151,30,15,0,4.29,3.33,0,2764
,Jennifer L. Mascott,George Mason,number,1,21,148,21,18,0,7,5.25,0,2432
,Paolo Saguato,George Mason,number,0,2,87,2,1,0,0.67,0.67,0,5052
,Megan T. Stevenson,George Mason,number,2,57,481,57,46,0,9.5,8.14,0,9573
,Amanda Levendowski,Georgetown,number,0,13,751,13,7,0,13,6.5,0,6022
,Kevin P. Arlyck,Georgetown,number,0,7,37,7,2,0,3.5,2.33,0,5455
,Shon R. Hopwood,Georgetown,number,0,26,194,26,13,0,7.17,4.25,0,6777
,Sherally Munshi,Georgetown,number,0,11,183,11,8,0,2.2,2.2,0,4227
,Neel Sukhatme,Georgetown,number,0,43,64,43,5,0,10.75,10.75,0,3940
,Yvonne Tew,Georgetown,number,0,13,139,13,4,0,3.25,2.6,1,1592
,Jamillah Bowman Williams,Georgetown,number,0,4,99,4,3,0,2,2,0,698
,Anne C. Fleming,Georgetown,number,1,38,76,36,10,0,19,9.5,1,6336
,Lindsey Simon,Georgia,number,0,1,12,1,1,0,1,1,0,9162
,Sandra Mayson,Georgia,number,3,87,494,87,65,0,21.75,21.75,0,1930
,Kate Weisburd,GW,number,3,28,76,28,10,0,14,9.33,0,3686
,Dmitry Karshtedt,GW,number,0,75,227,75,21,0,7.5,6.82,0,4143
,Nikolas Bowie,Harvard,number,0,2,53,2,2,0,1,0.5,0,7291
,Anna Lvovsky,Harvard,number,3,17,108,17,14,0,8.5,8.5,0,8981
,Elizabeth Papp Kamali,Harvard,number,0,0,21,0,0,0,0,0,0,4126
,Daphna Renan,Harvard,number,0,117,529,114,56,0,23.4,23.4,0,6523
,Christopher Bavitz,Harvard,number,0,0,2,0,0,0,0,0,0,9203
,Crystal S. Yang,Harvard,number,2,46,256,46,20,0,15.33,15.33,0,3736
,Emily Murphy,Hastings,number,1,80,129,79,7,0,20,20,0,3473
,Manoj Viswanathan,Hastings,number,0,28,123,25,6,0,5.6,4,0,6914
,Veena Dubal,Hastings,number,0,4,21,4,1,0,1.33,1.33,0,3963
,Zachary S. Price,Hastings,number,7,286,355,261,53,0,26,22,0,9254
,Charles E. Colman,Hawaii,number,2,22,90,22,7,0,2.44,2.44,0,7670
,Matthew A. Shapiro,Hofstra,number,0,10,15,10,4,0,5,5,0,4503
,Brenner M. Fissell,Hofstra,number,0,17,221,17,10,0,1.7,1.55,0,1179
,Ryan Whalen,Hong Kong,number,0,11,157,11,4,0,1.57,1.38,0,4953
,Andrew C. Michaels,Houston,number,0,9,121,9,2,0,1.8,1.5,0,4053
,H. James Nelson,Houston,number,0,75,143,74,16,0,12,10.2,0,5582
,Emily Berman,Houston,number,0,86,366,79,16,0,8.6,7.17,0,1582
,Myrisha Lewis,Howard,number,0,2,6,2,1,0,2,2,0,8167
,Matthew Bruckner,Howard,number,0,7,16,7,1,0,3.5,3.5,0,1964
,Samuel P. Newton,Idaho,number,0,0,13,0,0,0,0,0,0,5866
,Katherine Evans,Idaho,number,0,12,12,10,0,0,6,6,0,4216
